year,team,team_salary,wins,playoff_wins,champion,spend_tier,sport
2020,Chicago White Sox,53665251.0,41.0,1.0,False,Medium,MLB
2020,San Francisco Giants,73972317.0,80.0,0.0,False,High,MLB
2020,Boston Red Sox,84210390.0,81.0,0.0,False,High,MLB
2020,Oakland Athletics,36720178.0,69.0,3.0,False,Low,MLB
2020,Cleveland Guardians,39299107.0,92.0,0.0,False,Low,MLB
2020,Toronto Blue Jays,54237801.0,74.0,0.0,False,Medium,MLB
2020,Texas Rangers,63876359.0,78.0,0.0,False,Medium,MLB
2020,Detroit Tigers,43164880.0,86.0,0.0,False,Medium,MLB
2020,Milwaukee Brewers,41434086.0,93.0,0.0,False,Low,MLB
2020,Seattle Mariners,50563459.0,85.0,0.0,False,Medium,MLB
2020,Kansas City Royals,34934696.0,86.0,0.0,False,Low,MLB
2020,Colorado Rockies,67808533.0,61.0,0.0,False,Medium,MLB
2020,Tampa Bay Rays,28290689.0,80.0,11.0,False,Low,MLB
2020,Arizona Diamondbacks,65598752.0,89.0,0.0,False,Medium,MLB
2020,Miami Marlins,33901920.0,62.0,2.0,False,Low,MLB
2020,Pittsburgh Pirates,25343022.0,76.0,0.0,False,Low,MLB
2020,Baltimore Orioles,23478635.0,91.0,0.0,False,Low,MLB
2019,Chicago Cubs,221580085.0,83.0,0.0,False,High,MLB
2019,New York Yankees,223019037.0,94.0,5.0,False,High,MLB
2019,Boston Red Sox,229166880.0,81.0,0.0,False,High,MLB
2019,Los Angeles Dodgers,207000814.0,98.0,2.0,False,High,MLB
2019,Washington Nationals,172307808.0,71.0,12.0,True,High,MLB
2019,Houston Astros,167138259.0,88.0,10.0,False,High,MLB
2019,San Francisco Giants,178054110.0,80.0,0.0,False,High,MLB
2019,St. Louis Cardinals,173544423.0,83.0,3.0,False,High,MLB
2019,Colorado Rockies,155403513.0,61.0,0.0,False,Medium,MLB
2019,Los Angeles Angels,157999465.0,63.0,0.0,False,Medium,MLB
2019,Atlanta Braves,143947963.0,89.0,2.0,False,Medium,MLB
2019,Milwaukee Brewers,135889019.0,93.0,0.0,False,Medium,MLB
2019,New York Mets,146538234.0,89.0,0.0,False,Medium,MLB
2019,Minnesota Twins,125256003.0,82.0,0.0,False,Medium,MLB
2019,Texas Rangers,148538766.0,78.0,0.0,False,Medium,MLB
2019,Seattle Mariners,144388309.0,85.0,0.0,False,Medium,MLB
2019,Cincinnati Reds,128691569.0,77.0,0.0,False,Medium,MLB
2019,Oakland Athletics,99199531.0,69.0,0.0,False,Low,MLB
2019,Cleveland Guardians,106838693.0,92.0,0.0,False,Medium,MLB
2019,Philadelphia Phillies,158976752.0,95.0,0.0,False,Medium,MLB
2019,Detroit Tigers,114631137.0,86.0,0.0,False,Medium,MLB
2019,Kansas City Royals,103973003.0,86.0,0.0,False,Low,MLB
2019,Chicago White Sox,91371201.0,41.0,0.0,False,Low,MLB
2019,Miami Marlins,75596271.0,62.0,0.0,False,Low,MLB
2019,San Diego Padres,105099790.0,93.0,0.0,False,Low,MLB
2019,Arizona Diamondbacks,118672377.0,89.0,0.0,False,Medium,MLB
2019,Tampa Bay Rays,64178722.0,80.0,3.0,False,Low,MLB
2019,Baltimore Orioles,73328658.0,91.0,0.0,False,Low,MLB
2019,Toronto Blue Jays,111086139.0,74.0,0.0,False,Medium,MLB
2019,Pittsburgh Pirates,72176474.0,76.0,0.0,False,Low,MLB
2018,Boston Red Sox,227398860.0,81.0,11.0,True,High,MLB
2018,Los Angeles Dodgers,199582045.0,98.0,8.0,False,High,MLB
2018,Houston Astros,163706636.0,88.0,4.0,False,High,MLB
2018,Chicago Cubs,194259933.0,83.0,0.0,False,High,MLB
2018,New York Yankees,180098151.0,94.0,2.0,False,High,MLB
2018,Seattle Mariners,160243827.0,85.0,0.0,False,Medium,MLB
2018,Colorado Rockies,143968544.0,61.0,1.0,False,Medium,MLB
2018,Washington Nationals,181382609.0,71.0,0.0,False,High,MLB
2018,Cleveland Guardians,142604703.0,92.0,0.0,False,Medium,MLB
2018,San Francisco Giants,205665348.0,80.0,0.0,False,High,MLB
2018,St. Louis Cardinals,162334311.0,83.0,0.0,False,Medium,MLB
2018,Arizona Diamondbacks,141724597.0,89.0,0.0,False,Medium,MLB
2018,Philadelphia Phillies,104297471.0,95.0,0.0,False,Low,MLB
2018,Texas Rangers,140625018.0,78.0,0.0,False,Medium,MLB
2018,Los Angeles Angels,173717599.0,63.0,0.0,False,High,MLB
2018,Milwaukee Brewers,108982016.0,93.0,6.0,False,Medium,MLB
2018,Kansas City Royals,129944821.0,86.0,0.0,False,Medium,MLB
2018,New York Mets,150187987.0,89.0,0.0,False,Medium,MLB
2018,Cincinnati Reds,100305768.0,77.0,0.0,False,Low,MLB
2018,Toronto Blue Jays,150946147.0,74.0,0.0,False,Medium,MLB
2018,Atlanta Braves,129739447.0,89.0,1.0,False,Medium,MLB
2018,Baltimore Orioles,130413607.0,91.0,0.0,False,Medium,MLB
2018,Pittsburgh Pirates,91025861.0,76.0,0.0,False,Low,MLB
2018,Detroit Tigers,130995349.0,86.0,0.0,False,Medium,MLB
2018,Oakland Athletics,77673582.0,69.0,0.0,False,Low,MLB
2018,Chicago White Sox,71839808.0,41.0,0.0,False,Low,MLB
2018,Minnesota Twins,115538840.0,82.0,0.0,False,Medium,MLB
2018,San Diego Padres,101760815.0,93.0,0.0,False,Low,MLB
2018,Miami Marlins,91660500.0,62.0,0.0,False,Low,MLB
2018,Tampa Bay Rays,68895137.0,80.0,0.0,False,Low,MLB
2017,Los Angeles Dodgers,259302593.0,98.0,10.0,False,High,MLB
2017,Boston Red Sox,209872508.0,81.0,1.0,False,High,MLB
2017,San Francisco Giants,188406809.0,80.0,0.0,False,High,MLB
2017,New York Yankees,209044502.0,94.0,7.0,False,High,MLB
2017,Washington Nationals,182238854.0,71.0,2.0,False,High,MLB
2017,Baltimore Orioles,174129785.0,91.0,0.0,False,High,MLB
2017,Chicago Cubs,172092536.0,83.0,4.0,False,Medium,MLB
2017,Houston Astros,138344211.0,88.0,11.0,True,Medium,MLB
2017,Toronto Blue Jays,175617487.0,74.0,0.0,False,High,MLB
2017,Texas Rangers,161966320.0,78.0,0.0,False,Medium,MLB
2017,Kansas City Royals,148227822.0,86.0,0.0,False,Medium,MLB
2017,Seattle Mariners,160741810.0,85.0,0.0,False,Medium,MLB
2017,Cleveland Guardians,132258928.0,92.0,0.0,False,Medium,MLB
2017,Los Angeles Angels,166161209.0,63.0,0.0,False,Medium,MLB
2017,Colorado Rockies,139499341.0,61.0,0.0,False,Medium,MLB
2017,St. Louis Cardinals,145256085.0,83.0,0.0,False,Medium,MLB
2017,Detroit Tigers,188028874.0,86.0,0.0,False,High,MLB
2017,Atlanta Braves,105268575.0,89.0,0.0,False,Medium,MLB
2017,Arizona Diamondbacks,102619475.0,89.0,1.0,False,Low,MLB
2017,Minnesota Twins,120842831.0,82.0,0.0,False,Medium,MLB
2017,Miami Marlins,110765599.0,62.0,0.0,False,Medium,MLB
2017,Pittsburgh Pirates,100503030.0,76.0,0.0,False,Low,MLB
2017,Cincinnati Reds,96436003.0,77.0,0.0,False,Low,MLB
2017,Tampa Bay Rays,77811205.0,80.0,0.0,False,Low,MLB
2017,Milwaukee Brewers,64576736.0,93.0,0.0,False,Low,MLB
2017,New York Mets,143315158.0,89.0,0.0,False,Medium,MLB
2017,Chicago White Sox,85495238.0,41.0,0.0,False,Low,MLB
2017,Oakland Athletics,73477080.0,69.0,0.0,False,Low,MLB
2017,Philadelphia Phillies,104020808.0,95.0,0.0,False,Medium,MLB
2017,San Diego Padres,76921678.0,93.0,0.0,False,Low,MLB
2016,Los Angeles Dodgers,264470494.0,98.0,5.0,False,High,MLB
2016,San Francisco Giants,178834344.0,80.0,2.0,False,High,MLB
